unique_id,name_id,party_abbrev,party_name,party_from,party_to,party_changed_name,party_simplified_name
Bullock1955,243237,ALP,Australian Labor Party,,,,Labor
Bunton1902,K3N,IND,Independent,,,,Independent
Burns1929,2F4,ALP,Australian Labor Party,,,,Labor
Burston1948,207807,PHON,Pauline Hansons One Nation,,,,Pauline Hansons One Nation
Bushby1965,HLL,LIB,Liberal Party of Australia,,,,Liberals
Buttfield1912,K3O,LIB,Liberal Party of Australia,,,,Liberals
Button1932,4F4,ALP,Australian Labor Party,,,,Labor
Buzacott1867,K3Q,ALP,Australian Labor Party,,1917-02-17,,Labor
Buzacott1867,K3Q,NAT,Nationalist Party,1917-02-17,,,Nationalist Party
Byrne1910,K3R,ALP,Australian Labor Party,,1957-01-01,,Labor
Byrne1910,K3R,DLP,Democratic Labor Party,1968-01-01,,,Democratic Labor Party
Byrne1910,K3R,QLP,Queensland Labor Party,1957-01-01,1968-01-01,,Queensland Labor Party
Calvert1940,5F4,LIB,Liberal Party of Australia,,,,Liberals
Cameron1857,K3S,PROT,Protectionist Party,,,,Protectionist Party
Cameron1878,L8E,ALP,Australian Labor Party,,,,Labor
Cameron1914,K3T,ALP,Australian Labor Party,,,,Labor
Cameron1935,K3V,LIB,Liberal Party of Australia,,,,Liberals
CameronDouglas1951,AI6,ALP,Australian Labor Party,,,,Labor
Campbell1943,NB5,ALP,Australian Labor Party,,,,Labor
Campbell1959,H15,LIB,Liberal Party of Australia,,,,Liberals
Canavan1980,245212,NP,The Nationals,,,,The Nationals
Cant1907,K3W,ALP,Australian Labor Party,,,,Labor
Carr1947,WX4,ALP,Australian Labor Party,,,,Labor
Carr1955,AW5,ALP,Australian Labor Party,,,,Labor
Carrick1918,2U4,LIB,Liberal Party of Australia,,,,Liberals
Carroll1872,K3X,CP,Australian Country Party,,,,Nationals
Cash1970,I0M,LIB,Liberal Party of Australia,,,,Liberals
Cavanagh1913,K6F,ALP,Australian Labor Party,,,,Labor
Chamarette1948,SN5,GWA,The Greens (WA) Inc,,,,The Greens (WA) Inc
Chamberlain1884,K6H,LIB,Liberal Party of Australia,,,,Liberals
Chandler1990,264449,LIB,Liberal Party of Australia,,,,Liberals
Chaney1941,EF4,LIB,Liberal Party of Australia,,,,Liberals
Chapman1879,K6I,CP,Australian Country Party,,,,Nationals
Chapman1949,FF4,LIB,Liberal Party of Australia,,,,Liberals
Charleston1848,K6J,FT,Free Trade,,,,Free Trade
Chataway1864,K6L,ANTI-SOC,Anti-Socialist Party,,,,Anti-Socialist Party
Cherry1965,00A9C,AD,Australian Democrats,,,,Australian Democrats
Childs1934,IF4,ALP,Australian Labor Party,,,,Labor
Chipp1925,3V4,AD,Australian Democrats,1977-05-01,,,Australian Democrats
Chipp1925,3V4,IND,Independent,1977-03-01,1977-05-01,,Independent
Chipp1925,3V4,LIB,Liberal Party of Australia,,1977-03-01,,Liberals
Chisholm1978,39801,ALP,Australian Labor Party,,,,Labor
Ciccone1983,281503,ALP,Australian Labor Party,,,,Labor
Clemons1862,K6M,ANTI-SOC,Anti-Socialist Party,1910-01-01,1913-01-01,,Anti-Socialist Party
Clemons1862,K6M,FT,Free Trade,,1910-01-01,,Free Trade
Clemons1862,K6M,LIB,Liberal Party of Australia,,,,Liberals
Clothier1877,K6N,ALP,Australian Labor Party,,,,Labor
Coates1944,LF4,ALP,Australian Labor Party,,,,Labor
Cohen1918,K6R,ALP,Australian Labor Party,,,,Labor
Colbeck1958,00AOL,LIB,Liberal Party of Australia,,,,Liberals
Cole1908,K6W,ALP,Australian Labor Party,,1955-04-01,,Labor
Cole1908,K6W,ALP (A-C),Australian Labor Party (Anti-Communist),1955-04-01,1957-01-01,,Australian Labor Party (Anti-Communist)
Cole1908,K6W,DLP,Democratic Labor Party,1957-01-01,,,Democratic Labor Party
Colebatch1872,K7F,NAT,Nationalist Party,,,,Nationalist Party
Coleman1931,5V4,ALP,Australian Labor Party,,,,Labor
Collard1936,K7H,NCP,National Country Party,,1982-10-17,1.0,Nationals
Collard1936,K7H,NPA,National Party of Australia,1982-10-17,,,Nationals
Collett1877,K7M,NAT,Nationalist Party,,1937-01-01,,Nationalist Party
Collett1877,K7M,UAP,United Australia Party,1937-01-01,,,United Australia Party
Collings1865,K7P,ALP,Australian Labor Party,1937-01-01,,,Australian Labor Party
Collings1865,K7P,FLP,Federal Labor Party,,1937-01-01,,Federal Labor Party
Collins1946,OF4,ALP,Australian Labor Party,,,,Labor
Collins1962,GB6,ALP,Australian Labor Party,,,,Labor
Colston1938,PF4,ALP,Australian Labor Party,,1996-08-01,,Labor
Colston1938,PF4,IND,Independent,1996-08-01,,,Independent
Conroy1963,3L6,ALP,Australian Labor Party,,,,Labor
Cook1943,RF4,ALP,Australian Labor Party,,,,Labor
Cooke1904,JQN,ALP,Australian Labor Party,,,,Labor
Coonan1947,2M6,LIB,Liberal Party of Australia,,,,Liberals
Cooney1934,SF4,ALP,Australian Labor Party,,,,Labor
Cooper1888,JQP,CP,Australian Country Party,1935-07-01,,,Nationals
Cooper1888,JQP,NAT,Nationalist Party,,1932-06-30,,Nationalist Party
Cormack1906,JQQ,LIB,Liberal Party of Australia,,,,Liberals
Cormann1970,HDA,LIB,Liberal Party of Australia,,,,Liberals
Cotton1915,JQR,LIB,Liberal Party of Australia,,,,Liberals
Coulter1930,TF4,AD,Australian Democrats,,,,Australian Democrats
Courtenay1879,JQW,UAP,United Australia Party,,,,United Australia Party
Courtice1885,JQY,ALP,Australian Labor Party,,,,Labor
Cox1863,JRT,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Cox1863,JRT,UAP,United Australia Party,1931-01-01,,,United Australia Party
Cox1977,,GRN,Australian Greens,,,,Liberals
Crane1941,UW4,LIB,Liberal Party of Australia,,,,Liberals
Crawford1865,JRW,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Crawford1865,JRW,UAP,United Australia Party,1931-01-01,,,United Australia Party
CrichtonBrowne1944,XF4,IND LIB,Independent Liberal,1995-09-01,,,Independent Liberal
CrichtonBrowne1944,XF4,LIB,Liberal Party of Australia,,1995-09-01,,Liberals
Critchley1892,JSB,ALP,Australian Labor Party,,,,Labor
Croft1871,JTH,ALP,Australian Labor Party,,,,Labor
Crossin1956,7Y6,ALP,Australian Labor Party,,,,Labor
Crowley1938,ZF4,ALP,Australian Labor Party,,,,Labor
Culleton1964,266482,IND,Independent,2016-12-01,,,Independent
Culleton1964,266482,PHON,Pauline Hansons One Nation,,2016-12-01,,Pauline Hansons One Nation
Cunningham1879,JTK,ALP,Australian Labor Party,,,,Labor
Daly1891,JTL,ALP,Australian Labor Party,,,,Labor
Darcey1870,JTR,ALP,Australian Labor Party,,,,Labor
Dastyari1983,225099,ALP,Australian Labor Party,,,,Labor
Davey1972,281697,NP,The Nationals,,,,The Nationals
Davidson1915,JTT,LIB,Liberal Party of Australia,,,,Liberals
Dawson1863,JTV,ALP,Australian Labor Party,,,,Labor
Day1952,HYG,FFP,Family First Party,,,,Family First Party
Dein1889,JUD,UAP,United Australia Party,,,,United Australia Party
Dein1889,JUD,UAP,United Australia Party,,,,United Australia Party
deLargie1859,JU7,ALP,Australian Labor Party,,1917-01-01,,Labor
deLargie1859,JU7,NAT,Nationalist Party,1917-01-01,,,Nationalist Party
Denman1937,FY5,ALP,Australian Labor Party,,,,Labor
Devereux1946,1G4,ALP,Australian Labor Party,,1994-12-01,,Labor
Devereux1946,1G4,IND,Independent,1994-12-01,,,Independent
Devitt1921,JUH,ALP,Australian Labor Party,,,,Labor
Devlin1898,JUL,ALP,Australian Labor Party,,,,Labor
Devlin1926,JUI,ALP,Australian Labor Party,,,,Labor
DiNatale1970,53369,GRN,Australian Greens,,,,Australian Greens
Dittmer1904,JUM,ALP,Australian Labor Party,,,,Labor
Dobson1841,JVC,FT,Free Trade,,1903-01-01,,Free Trade
Dobson1841,JVC,TRP,Tariff Reform Party,1903-01-01,,,Tariff Reform Party
Dodson1948,SR5,ALP,Australian Labor Party,,,,Labor
Dooley1884,JVF,ALP,Australian Labor Party,,,,Labor
Downer1843,JVG,PROT,Protectionist Party,,,,Protectionist Party
Drake1850,JXO,PROT,Protectionist Party,,,,Protectionist Party
DrakeBrockman1884,JXP,NAT,Nationalist Party,,,,Nationalist Party
DrakeBrockman1919,JXR,CP,Australian Country Party,,1975-05-03,1.0,Nationals
DrakeBrockman1919,JXR,NCP,National Country Party,1975-05-03,,,Nationals
Drury1912,JXX,ALP,Australian Labor Party,,,,Labor
Duncan1883,JXZ,NAT,Nationalist Party,,,,Nationalist Party
DuncanHughes1882,JY7,LIB,Liberal Party of Australia,,1925-01-01,,Liberals
DuncanHughes1882,JY7,NAT,Nationalist Party,1925-01-01,1932-01-01,,Nationalist Party
DuncanHughes1882,JY7,UAP,United Australia Party,1932-01-01,,,United Australia Party
Duniam1982,263418,LIB,Liberal Party of Australia,,,,Liberals
Dunn1887,JYB,ALP,Australian Labor Party,,1931-03-01,,Labor
Dunn1887,JYB,LANG LAB,Lang Labor Party,1931-03-01,,,Lang Labor Party
Dunn1948,3K4,IND,Independent,1988-08-01,,,Independent
Dunn1948,3K4,NDP,Nuclear Disarmament Party,,1988-08-01,,Nuclear Disarmament Party
Durack1926,8G4,LIB,Liberal Party of Australia,,,,Liberals
Earle1865,JYF,NAT,Nationalist Party,,,,Nationalist Party
Edwards1962,225307,LIB,Liberal Party of Australia,,,,Liberals
Eggleston1941,4L6,LIB,Liberal Party of Australia,,,,Liberals
Elliott1878,JYG,NAT,Nationalist Party,,,,Nationalist Party
Elliott1884,JYH,CP,Australian Country Party,,,,Nationals
Ellison1954,9X5,LIB,Liberal Party of Australia,,,,Liberals
Elstob1924,JYI,ALP,Australian Labor Party,,,,Labor
Evans1928,JYL,AD,Australian Democrats,,,,Australian Democrats
Evans1944,VD4,ALP,Australian Labor Party,,,,Labor
Evans1958,AX5,ALP,Australian Labor Party,,,,Labor
Everett1917,JYN,ALP,Australian Labor Party,,,,Labor
Ewing1870,JYQ,FT,Free Trade,,,,Free Trade
Fairbairn1855,JYR,IND PROT,Independent Protectionist,,1910-01-01,,Independent Protectionist
Fairbairn1855,JYR,LIB,Liberal Party of Australia,1910-01-01,1917-07-01,,Liberal Party of Australia
Fairbairn1855,JYR,NAT,Nationalist Party,1917-07-01,,,Nationalist Party
Farrell1954,I0N,ALP,Australian Labor Party,,,,Labor
Faruqi1963,250362,GRN,Australian Greens,,,,Australian Greens
Faulkner1954,5K4,ALP,Australian Labor Party,,,,Labor
Fawcett1963,DYU,LIB,Liberal Party of Australia,,,,Liberals
Feeney1970,I0O,ALP,Australian Labor Party,,,,Labor
Ferguson1830,JYS,FT,Free Trade,,,,Free Trade
Ferguson1943,EP5,LIB,Liberal Party of Australia,,,,Liberals
Ferricks1875,JYT,ALP,Australian Labor Party,,,,Labor
Ferris1941,5L6,LIB,Liberal Party of Australia,,,,Liberals
Field1910,JYW,IND,Independent,,,,Independent
Fielding1960,E4R,FFP,Family First Party,,,,Family First Party
FierravantiWells1960,E4T,LIB,Liberal Party of Australia,,,,Liberals
Fifield1967,D2I,LIB,Liberal Party of Australia,,,,Liberals
Findley1864,JYX,ALP,Australian Labor Party,,,,Labor
Finlay1887,JZ8,ALP,Australian Labor Party,,,,Labor
Fisher1962,HBE,LIB,Liberal Party of Australia,,,,Liberals
Fitzgerald1910,JZB,ALP,Australian Labor Party,,,,Labor
Fitzgerald1910,JZB,ALP,Australian Labor Party,,,,Labor
Foll1890,JZD,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Foll1890,JZD,UAP,United Australia Party,1931-01-01,,,United Australia Party
Foreman1933,GG4,ALP,Australian Labor Party,,,,Labor
Forshaw1952,656,ALP,Australian Labor Party,,,,Labor
Foster1884,KKH,NAT,Nationalist Party,,,,Nationalist Party
Fraser1832,KKL,ANTI-SOC,Anti-Socialist Party,1906-01-01,,,Anti-Socialist Party
Fraser1832,KKL,PROT,Protectionist Party,,1906-01-01,,Protectionist Party
Fraser1889,KKR,ALP,Australian Labor Party,,,,Labor
Fraser1892,KKJ,LIB,Liberal Party of Australia,,,,Liberals
Furner1958,I0P,ALP,Australian Labor Party,,,,Labor
Gair1901,KKP,DLP,Democratic Labor Party,,,,Democratic Labor Party
Gallacher1954,204953,ALP,Australian Labor Party,,,,Labor
Gallagher1970,ING,ALP,Australian Labor Party,,,,Labor
Gardiner1867,KKZ,ALP,Australian Labor Party,,1926-06-30,,Labor
Gardiner1867,KKZ,PROG LAB,Progressive Labor,1928-06-05,,,Progressive Labor
Garling1870,KL7,NAT,Nationalist Party,,,,Nationalist Party
Georges1920,7V4,ALP,Australian Labor Party,,1986-12-01,,Labor
Georges1920,7V4,IND,Independent,1986-12-01,,,Independent
Georgiou1974,269583,PHON,Pauline Hansons One Nation,,,,Pauline Hansons One Nation
Gibbs1879,KLP,ALP,Australian Labor Party,,,,Labor
Gibbs1947,6L6,ALP,Australian Labor Party,,,,Labor
Gibson1869,KAY,CP,Australian Country Party,1920-01-01,,,Nationals
Gibson1869,KAY,FU,Farmers Union,,1919-01-01,,Farmers Union
Gibson1869,KAY,VFU,Victorian Farmers Union,1919-01-01,1920-01-01,,Victorian Farmers Union
Gibson1936,BX5,LIB,Liberal Party of Australia,,,,Liberals
Gichuhi1962,270552,FFP,Family First Party,,2017-05-03,,Family First Party
Gichuhi1962,270552,IND,Independent,2017-05-03,2018-02-01,,Independent
Gichuhi1962,270552,LIB,Liberal Party of Australia,2018-02-01,,,Liberal Party of Australia
Gietzelt1920,RG4,ALP,Australian Labor Party,,,,Labor
Giles1928,XG4,ALP,Australian Labor Party,,,,Labor
Givens1864,KLS,ALP,Australian Labor Party,,1917-01-01,,Labor
Givens1864,KLS,NAT,Nationalist Party,1917-01-01,,,Nationalist Party
Glasgow1876,KLU,NAT,Nationalist Party,,,,Nationalist Party
Glassey1844,KLW,PROT,Protectionist Party,,,,Protectionist Party
Gorton1911,KH5,IND,Independent,1975-05-23,,,Independent
Gorton1911,KH5,LIB,Liberal Party of Australia,,1975-05-23,,Liberals
Gould1847,KLZ,ANTI-SOC,Anti-Socialist Party,1906-01-01,1913-01-01,,Anti-Socialist Party
Gould1847,KLZ,FT,Free Trade,,1906-01-01,,Free Trade
Gould1847,KLZ,LIB,Liberal Party of Australia,1913-01-01,,,Liberal Party of Australia
Graham1867,KMI,ALP,Australian Labor Party,,,,Labor
Grant1857,KMP,ALP,Australian Labor Party,,,,Labor
Grant1878,KMK,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Grant1878,KMK,UAP,United Australia Party,1931-01-01,,,United Australia Party
Grant1888,KMN,ALP,Australian Labor Party,,,,Labor
Gray1840,KMT,FT,Free Trade,,,,Free Trade
Green,283595,ALP,Australian Labor Party,,,,Australian Labor Party
Greenwood1926,KMX,LIB,Liberal Party of Australia,,,,Liberals
Greig1966,86X,AD,Australian Democrats,,,,Australian Democrats
Griff1957,76760,CA,Centre Alliance,2018-04-10,,,Centre Alliance
Griff1957,76760,NXT,Nick Xenophon Team,,2018-04-10,1.0,Nick Xenophon Team
Grimes1937,9V4,ALP,Australian Labor Party,,,,Labor
Grogan,,ALP,Australian Labor Party,,,,Labor
Guilfoyle1926,C7D,LIB,Liberal Party of Australia,,,,Liberals
Guthrie1856,KNB,ALP,Australian Labor Party,,1917-01-01,,Labor
Guthrie1856,KNB,NAT,Nationalist Party,1917-01-01,,,Nationalist Party
Guthrie1872,KN7,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Guthrie1872,KN7,UAP,United Australia Party,1931-01-01,,,United Australia Party
Guy1860,KNN,ALP,Australian Labor Party,,,,Labor
Guy1890,KFW,ALP,Australian Labor Party,,1931-01-01,,Labor
Guy1890,KFW,LIB,Liberal Party of Australia,1944-01-01,,,Liberal Party of Australia
Guy1890,KFW,UAP,United Australia Party,1931-01-01,1944-01-01,,United Australia Party
Haines1945,1H4,AD,Australian Democrats,,,,Australian Democrats
Hall1928,2H4,LIB,Liberal Party of Australia,1976-06-01,,,Liberal Party of Australia
Hall1928,2H4,LM,Liberal Movement,,1976-06-01,,Liberal Movement
Hamer1923,4H4,LIB,Liberal Party of Australia,,,,Liberals
Hannaford1903,KNR,IND,Independent,1967-02-01,,,Independent
Hannaford1903,KNR,LIB,Liberal Party of Australia,,1967-02-01,,Liberals
Hannan1873,KGG,ALP,Australian Labor Party,,,,Labor
Hannan1910,KNU,LIB,Liberal Party of Australia,,1974-03-01,,Liberals
Hannan1910,KNU,NAT LIB,National Liberal Party,1974-03-01,,,National Liberal Party
Hanson1954,BK6,IND,Independent,,1997-06-01,,Independent
Hanson1954,BK6,PHON,Pauline Hansons One Nation,1997-06-01,,,Pauline Hansons One Nation
HansonYoung1981,I0U,GRN,Australian Greens,,,,Australian Greens
Hardy1898,KNZ,CP,Australian Country Party,,,,Nationals
Harney1865,KO8,FT,Free Trade,,,,Free Trade
Harradine1935,6H4,IND,Independent,,,,Independent
Harris1890,232369,ALP,Australian Labor Party,,,,Labor
Hayes1868,KOF,LIB,Liberal Party of Australia,1944-01-01,,,Liberal Party of Australia
Hayes1868,KOF,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Hayes1868,KOF,UAP,United Australia Party,1931-01-01,1944-01-01,,United Australia Party
Hays1869,KOJ,LIB,Liberal Party of Australia,1944-01-01,,,Liberal Party of Australia
Hays1869,KOJ,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Hays1869,KOJ,UAP,United Australia Party,1931-01-01,1944-01-01,,United Australia Party
Hearn1921,KOM,ALP,Australian Labor Party,,,,Labor
Heatley1920,KOO,LIB,Liberal Party of Australia,,,,Liberals
Heffernan1943,C16,LIB,Liberal Party of Australia,,,,Liberals
Henderson1857,KOS,ALP,Australian Labor Party,,1917-01-01,,Labor
Henderson1857,KOS,NAT,Nationalist Party,1917-01-01,,,Nationalist Party
Henderson1964,ZN4,LIB,Liberal Party of Australia,,,,Liberals
Hendrickson1897,KOU,ALP,Australian Labor Party,,,,Labor
Henty1903,KOW,LIB,Liberal Party of Australia,,,,Liberals
Herron1932,VW4,LIB,Liberal Party of Australia,,,,Liberals
Higgs1862,KHE,ALP,Australian Labor Party,,1920-01-15,,Labor
Higgs1862,KHE,IND,Independent,1920-01-15,1920-09-01,,Independent
Higgs1862,KHE,NAT,Nationalist Party,1920-09-01,,,Nationalist Party
Hill1946,BH4,LIB,Liberal Party of Australia,,,,Liberals
Hill1960,,PHON,Pauline Hansons One Nation,,,,Pauline Hansons One Nation
Hinch1944,2O4,DHJP,Derryn Hinchs Justice Party,,,,Derryn Hinchs Justice Party
Hoare1874,KOZ,ALP,Australian Labor Party,,,,Labor
Hogg1949,7L6,ALP,Australian Labor Party,,,,Labor
Hughes,273828,LIB,Liberal Party of Australia,,,,Liberals
Hume1971,266499,LIB,Liberal Party of Australia,,,,Liberals
Humphries1958,KO6,LIB,Liberal Party of Australia,,,,Liberals
Hurley1955,E4U,ALP,Australian Labor Party,,,,Labor
Hutchins1956,84P,ALP,Australian Labor Party,,,,Labor
Jenkins1938,IH4,AD,Australian Democrats,,,,Australian Democrats
Jessop1927,KKD,IND,Independent,1987-06-01,,,Independent
Jessop1927,KKD,LIB,Liberal Party of Australia,,1987-06-01,,Liberals
Johnston1880,KP8,CP,Australian Country Party,,,,Nationals
Johnston1956,00AON,LIB,Liberal Party of Australia,,,,Liberals
JonesGerry1932,LH4,ALP,Australian Labor Party,,,,Labor
Joyce1967,E5D,NP,The Nationals,,,,The Nationals
KakoschkeMoore1985,265982,NXT,Nick Xenophon Team,,,,Nick Xenophon Team
Kane1908,KPA,DLP,Democratic Labor Party,,,,Democratic Labor Party
Katz1887,KPC,ALP,Australian Labor Party,,,,Labor
Keane1881,KE4,ALP,Australian Labor Party,,,,Labor
Keating1872,KPE,LIB,Liberal Party of Australia,1913-01-01,,,Liberal Party of Australia
Keating1872,KPE,PROT,Protectionist Party,,1913-01-01,,Protectionist Party
Keeffe1919,KPG,ALP,Australian Labor Party,,,,Labor
Kemp1944,WW4,LIB,Liberal Party of Australia,,,,Liberals
Kendall1899,KPI,LIB,Liberal Party of Australia,,,,Liberals
Keneally1968,LNW,ALP,Australian Labor Party,,,,Labor
Kennelly1900,KPK,ALP,Australian Labor Party,,,,Labor
Kernot1948,XW4,AD,Australian Democrats,,1997-10-15,,Australian Democrats
Kernot1948,XW4,ALP,Australian Labor Party,,,,Labor
Ketter1961,244247,ALP,Australian Labor Party,,,,Labor
Kilgariff1923,KPO,CLP,Country Liberal Party (Northern Territory),,,,Country Liberal Party (Northern Territory)
Kingsmill1864,KPQ,NAT,Nationalist Party,,,,Nationalist Party
Kirk1967,00AOO,ALP,Australian Labor Party,,,,Labor
Kitching1970,247512,ALP,Australian Labor Party,,,,Labor
Kneebone1876,KPT,ALP,Australian Labor Party,,,,Labor
Knight1943,KPV,LIB,Liberal Party of Australia,,,,Liberals
Knowles1951,TH4,LIB,Liberal Party of Australia,,,,Liberals
Kroger1959,G1N,LIB,Liberal Party of Australia,,,,Liberals
Lacey1900,KPZ,ALP,Australian Labor Party,,,,Labor
Lajovic1921,KQD,LIB,Liberal Party of Australia,,,,Liberals
Lambie1971,250026,JLN,Jacqui Lambie Network,2019-07-01,,,
Lambie1971,250026,IND,Independent,2014-11-24,2015-05-14,,Independent
Lambie1971,250026,JLN,Jacqui Lambie Network,2015-05-14,,,Jacqui Lambie Network
